订单号,订单日期,顾客姓名,订单等级,订单数量,销售额,折扣点,运输方式,利润额,单价,运输成本,区域,省份,城市,产品类别,产品子类别,产品名称,产品包箱,运送日期
355,2013/6/13,姚华,低级,16,1239.6315,0,火车,-172.546,85.99,0.99,东北,吉林,长春,技术产品,电话通信产品,Accessory4,打包纸袋,2013/6/18
358,2014/9/19,陆玉英,高级,33,1640.9,0.02,大卡,-1348.06,48.58,54.11,东北,黑龙江,哈尔滨,家具产品,书架,O'Sullivan 2-Shelf Heavy-Duty Bookcases,巨型纸箱,2014/9/21
358,2014/9/19,陆玉英,高级,33,1235.87,0.07,火车,269.27,39.48,1.99,华南,河南,郑州,技术产品,电脑配件,"80 Minute CD-R Spindle, 100/Pack - Staples",小型包裹,2014/9/19
359,2013/12/18,孙婷露,中级,30,3659.66,0.08,大卡,-500.38,124.49,51.94,华南,广西,南宁,家具产品,桌子,Bevis 36 x 72 Conference Tables,巨型纸箱,2013/12/19
384,2016/3/2,张槟,低级,50,7666.04,0.02,大卡,-1820.84,146.05,80.2,华南,河南,郑州,家具产品,桌子,BPI Conference Tables,巨型纸箱,2016/3/9
386,2015/1/24,宝艳,高级,4,14.96,0.02,火车,-0.03,3.69,0.5,华南,广西,南宁,办公用品,标签,Avery 501,小型箱子,2015/1/26
386,2015/1/24,宝艳,高级,4,15.69,0.09,火车,-1.59,3.85,0.7,华南,广西,南宁,办公用品,笔、美术用品,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,打包纸袋,2015/1/26
388,2016/12/15,孙敏,其它,46,517.93,0.06,火车,-94.73,11.7,6.96,西北,甘肃,兰州,办公用品,家用电器,Harmony HEPA Quiet Air Purifiers,中型箱子,2016/12/18
416,2014/9/26,杨光,低级,20,1156.6715,0.01,空运,88.524,65.99,7.69,西北,陕西,西安,技术产品,电话通信产品,5190,小型箱子,2014/10/1
417,2013/2/5,卢亚灵,中级,39,15260.78,0.07,大卡,8734.88,500.98,28.14,华东,浙江,杭州,技术产品,办公机器,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",巨型木箱,2013/2/6
417,2013/2/5,卢亚灵,中级,3,540.41,0.1,火车,-170.98,178.47,19.99,华东,浙江,杭州,办公用品,容器，箱子,"Hot File? 7-Pocket, Floor Stand",小型箱子,2013/2/7
420,2015/10/30,王仲奇,其它,8,43.29,0.09,火车,-20.69,4.98,4.86,华东,上海,上海,办公用品,纸张,Xerox 190,小型箱子,2015/10/30
420,2015/10/30,王仲奇,其它,6,41.7,0.03,火车,-14.56,5.78,5.37,华东,安徽,合肥,办公用品,纸张,Xerox 1950,小型箱子,2015/11/1
448,2015/8/20,吕果 ,中级,22,1162.4005,0.09,火车,-284.625,65.99,19.99,华南,湖南,长沙,技术产品,电话通信产品,iDENi80s,小型箱子,2015/8/22
449,2015/7/19,孙果 ,高级,45,356.7,0.02,火车,-48.97,7.38,5.21,华南,广东,汕头,家具产品,办公装饰品,"Eldon? Expressions? Wood Desk Accessories, Oak",小型箱子,2015/7/21
450,2015/3/4,田凤琴,其它,29,1000.78,0.05,空运,109.33,34.58,8.99,华南,湖北,武汉,办公用品,笔、美术用品,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,小型包裹,2015/3/5
450,2015/3/4,田凤琴,其它,35,543.72,0.05,火车,-211.13,15.7,11.25,华南,广西,南宁,办公用品,容器，箱子,Hanging Personal Folder File,小型箱子,2015/3/6
454,2015/12/26,高瑞昌,低级,42,234.2,0.09,火车,56.22,6.08,1.82,华南,广西,南宁,办公用品,橡皮筋,Staples Bulk Pack Metal Binder Clips,打包纸袋,2015/12/28
481,2016/10/7,谢云,高级,44,4509.3775,0.01,火车,1426.257,115.99,5.26,华南,海南,海口,技术产品,电话通信产品,636,小型箱子,2016/10/9
483,2015/7/10,邱玉红,高级,30,4965.7595,0.08,火车,1198.971,195.99,3.99,华北,内蒙古,呼和浩特,技术产品,电话通信产品,R380,小型箱子,2015/7/12
487,2016/8/17,周楠,中级,19,210.4,0.07,火车,-18.96,10.89,4.5,华东,浙江,杭州,办公用品,家用电器,Belkin 6 Outlet Metallic Surge Strip,小型箱子,2016/8/18
512,2015/5/19,杨玲玲,低级,6,1309.53,0.06,火车,19.18,218.08,18.06,华北,山西,太原,家具产品,椅子,"Lifetime Advantage? Folding Chairs, 4/Carton",大型箱子,2015/5/19
512,2015/5/19,杨玲玲,低级,48,806.37,0.01,空运,-166.4,15.42,10.68,华北,山西,太原,办公用品,容器，箱子,"Decoflex Hanging Personal Folder File, Blue",小型箱子,2015/5/21
513,2015/4/30,谢愚舅,高级,33,5437.92,0,大卡,-684.57,150.89,60.2,华北,内蒙古,呼和浩特,家具产品,椅子,"Global Leather & Oak Executive Chair, Burgundy",巨型木箱,2015/4/30
515,2014/8/28,郑则强,其它,19,394.27,0.08,火车,30.94,21.78,5.94,华北,山西,太原,办公用品,家用电器,Holmes HEPA Air Purifier,中型箱子,2014/8/30
515,2014/8/28,郑则强,其它,21,146.69,0.05,火车,4.43,6.64,4.95,西南,西藏,拉萨,家具产品,办公装饰品,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,小型包裹,2014/8/30
548,2013/9/20,杨子梅,中级,41,129.49,0.04,火车,36.02,3.08,0.99,华南,广西,南宁,办公用品,标签,Avery 481,小型箱子,2013/9/21
548,2013/9/20,杨子梅,中级,29,202.95,0.02,火车,-50.64,6.48,5.9,华北,北京,北京 ,办公用品,纸张,Xerox 1976,小型箱子,2013/9/21
548,2013/9/20,杨子梅,中级,26,2753.1925,0.04,火车,510.489,125.99,4.2,华东,上海,上海,技术产品,电话通信产品,V3682,小型箱子,2013/9/22
549,2016/7/12,齐军,中级,13,70.24,0.03,火车,-59.75,4.98,7.44,华南,河南,郑州,办公用品,纸张,Xerox 1922,小型箱子,2016/7/13
549,2016/7/12,齐军,中级,5,40.75,0.05,火车,-27.57,6.48,8.74,华北,天津,天津 ,办公用品,纸张,Xerox 1984,小型箱子,2016/7/13
549,2016/7/12,齐军,中级,30,1150.88,0.05,空运,-911.56,38.94,35,华北,山西,太原,办公用品,容器，箱子,"Eldon Base for stackable storage shelf, platinum",大型箱子,2016/7/12
610,2015/8/1,李青,中级,38,283.65,0.02,空运,-29.21,6.68,5.41,华南,广东,汕头,办公用品,纸张,Xerox 195,小型箱子,2015/8/3
611,2014/1/26,谢愚舅,中级,47,840.04,0.04,火车,-131.27,17.7,9.47,华北,山西,太原,办公用品,容器，箱子,Portfile? Personal File Boxes,小型箱子,2014/1/28
612,2016/10/20,艾楠丽,中级,50,262.87,0.1,火车,-166.29,5.28,6.26,东北,吉林,长春,办公用品,纸张,Xerox 1928,小型箱子,2016/10/22
612,2016/10/20,艾楠丽,中级,43,2531.0875,0.01,火车,881.676,65.99,2.5,华北,河北,石家庄,技术产品,电话通信产品,6190,小型箱子,2016/10/22
613,2015/6/17,余伟 ,高级,12,93.54,0.03,火车,-54.0385,7.3,7.72,东北,黑龙江,哈尔滨,办公用品,夹子及其配件 ,"Angle-D Binders with Locking Rings, Label Holders",小型箱子,2015/6/17
613,2015/6/17,余伟 ,高级,22,905.08,0.09,火车,127.7,42.76,6.22,东北,黑龙江,哈尔滨,办公用品,容器，箱子,"SAFCO Mobile Desk Side File, Wire Frame",小型箱子,2015/6/18
614,2016/11/30,高捷,高级,41,628.22,0,火车,163.81,14.34,5,东北,吉林,长春,家具产品,办公装饰品,Nu-Dell Leatherette Frames,小型包裹,2016/12/2
614,2016/11/30,高捷,高级,24,3366.1,0.07,大卡,-335.317125,138.75,52.42,东北,黑龙江,哈尔滨,家具产品,桌子,Balt Split Level Computer Training Table,巨型纸箱,2016/12/1
640,2014/1/22,李爽,高级,39,4913.69,0.02,大卡,-1153.9,120.98,58.64,华北,天津,天津 ,家具产品,书架,O'Sullivan Living Dimensions 2-Shelf Bookcases,巨型纸箱,2014/1/23
640,2014/1/22,李爽,高级,24,464.77,0.01,火车,29.42,18.97,9.54,华北,天津,天津 ,办公用品,纸张,Xerox 1939,小型箱子,2014/1/23
643,2015/3/24,张颖,高级,21,2781.82,0.07,空运,-695.26,138.14,35,西北,宁夏,银川,办公用品,容器，箱子,"SAFCO Commercial Wire Shelving, Black",大型箱子,2015/3/25
644,2016/4/30,吕大强,中级,5,1679.58,0.01,大卡,-171.92,320.98,58.95,西北,甘肃,兰州,家具产品,椅子,Hon 4070 Series Pagoda? Round Back Stacking Chairs,巨型木箱,2016/5/1
645,2013/12/2,贺晓晨,高级,42,557.85,0.05,火车,89.4455,12.95,4.98,华东,浙江,杭州,办公用品,夹子及其配件 ,GBC Binding covers,小型箱子,2013/12/4
646,2013/11/21,包忠然,高级,18,173.2,0.01,火车,-10.9,9.31,3.98,华东,浙江,杭州,办公用品,剪刀，尺子，锯,Acme? Forged Steel Scissors with Black Enamel Handles,小型包裹,2013/11/22
678,2014/2/26,周文龙,低级,44,228.41,0.07,火车,-226.36,4.98,8.33,华东,安徽,合肥,办公用品,纸张,Xerox 198,小型箱子,2014/2/26
706,2015/9/8,朱正玉 ,中级,42,75.14,0.05,火车,0.82,1.76,0.7,华南,广东,汕头,办公用品,笔、美术用品,Newell 326,打包纸袋,2015/9/10
710,2014/1/1,张小燕,低级,42,161.77,0.01,火车,-150.374,3.58,5.47,华南,河南,郑州,办公用品,夹子及其配件 ,Avery Poly Binder Pockets,小型箱子,2014/1/5
710,2014/1/1,张小燕,低级,11,447.09,0.09,火车,89.03,41.32,8.66,华南,河南,郑州,家具产品,办公装饰品,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",中型箱子,2014/1/3
710,2014/1/1,张小燕,低级,29,4192.88,0.02,大卡,731.32,145.45,17.85,西北,宁夏,银川,技术产品,办公机器,Panasonic KX-P1150 Dot Matrix Printer,巨型木箱,2014/1/5
738,2014/3/1,牛莉丽,其它,7,560.51,0.04,火车,32.6,80.98,4.5,西南,四川,成都,办公用品,家用电器,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,小型箱子,2014/3/3
738,2014/3/1,牛莉丽,其它,31,189.95,0.08,火车,-56.68,6.48,5.14,华南,广西,南宁,办公用品,纸张,Xerox 23,小型箱子,2014/3/2
740,2015/7/15,柳承刚,中级,6,28.01,0.09,火车,3.46,4.98,0.49,西北,宁夏,银川,办公用品,标签,Avery White Multi-Purpose Labels,小型箱子,2015/7/15
769,2014/6/1,胡张坤,中级,37,4261.94,0.02,大卡,4.15,115.99,56.14,华北,内蒙古,呼和浩特,技术产品,办公机器,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,巨型木箱,2014/6/2
771,2015/6/16,高凤,中级,18,88.84,0.08,火车,-38.35,4.98,4.72,华北,河北,石家庄,办公用品,纸张,Xerox 1949,小型箱子,2015/6/17
772,2014/4/16,汤雪梅,高级,35,589.24,0.08,火车,-38.35,17.52,8.17,东北,辽宁,沈阳,办公用品,家用电器,Bionaire 99.97% HEPA Air Cleaner,中型箱子,2014/4/18
772,2014/4/16,汤雪梅,高级,25,233.05,0.1,火车,86.93,9.9,1.39,西南,四川,成都,办公用品,信封,#6 3/4 Gummed Flap White Envelopes,小型箱子,2014/4/18
773,2014/9/25,杨高宁,中级,38,2071.3395,0.06,火车,324.927,65.99,8.99,华南,海南,海口,技术产品,电话通信产品,Talkabout T8367,小型箱子,2014/9/26
774,2015/12/3,任锦升,中级,17,126.57,0.03,火车,-752.13,4.48,49,华北,天津,天津 ,办公用品,家用电器,Hoover Portapower? Portable Vacuum,大型箱子,2015/12/5
775,2015/3/17,周勇,中级,35,43.57,0.1,火车,-19.17,1.26,0.7,西北,新疆,乌鲁木齐,办公用品,橡皮筋,Bagged Rubber Bands,打包纸袋,2015/3/18
775,2015/3/17,周勇,中级,8,31.87,0.1,火车,-1.25,4.26,1.2,华东,福建,福州,办公用品,笔、美术用品,"Dixon Prang? Watercolor Pencils, 10-Color Set with Brush",打包纸袋,2015/3/19
801,2016/2/17,肖明,中级,20,59.85,0.03,火车,-47.41,2.74,3.5,华东,Jiangsu,南京,办公用品,笔、美术用品,Rogers Handheld Barrel Pencil Sharpener,小型包裹,2016/2/20
802,2015/1/4,李丹丹,中级,33,378.6,0.08,火车,12.7245,11.7,5.63,华南,河南,郑州,办公用品,夹子及其配件 ,Fellowes Binding Cases,小型箱子,2015/1/6
802,2015/1/4,李丹丹,中级,2,38.5,0.09,火车,-52.1391,15.99,9.4,华南,海南,海口,技术产品,办公机器,"AT&T Black Trimline Phone, Model 210",小型箱子,2015/1/4
805,2015/7/4,李杰,其它,39,197.56,0.02,火车,-119.86,4.97,5.71,华北,山西,太原,家具产品,办公装饰品,"DAX Value U-Channel Document Frames, Easel Back",中型箱子,2015/7/6
807,2014/11/23,陶蔚红,中级,45,196.85,0.01,火车,-166.85,4.28,6.18,西北,陕西,西安,办公用品,纸张,Xerox 1980,小型箱子,2014/11/24
807,2014/11/23,陶蔚红,中级,32,124.56,0.04,火车,-14.33,3.95,2,华南,广东,汕头,办公用品,橡皮筋,Advantus Map Pennant Flags and Round Head Tacks,打包纸袋,2014/11/24
832,2016/4/18,马明亮,低级,7,53.46,0.02,火车,-17.58,6.48,5.9,华南,广东,汕头,办公用品,纸张,Xerox 1976,小型箱子,2016/4/22
833,2013/2/12,朱先,中级,1,19.32,0.03,火车,-20.3205,12.53,7.17,华北,北京,北京 ,办公用品,夹子及其配件 ,GBC ProClick Spines for 32-Hole Punch,小型箱子,2013/2/13
834,2013/5/22,杨波,中级,15,1813.04,0.01,大卡,-164.3952,115.99,56.14,华北,山西,太原,技术产品,办公机器,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,巨型木箱,2013/5/23
835,2015/10/7,包忠然,其它,18,125.16,0.02,火车,-23.48,6.48,5.14,华北,内蒙古,呼和浩特,办公用品,纸张,Xerox 23,小型箱子,2015/10/8
837,2013/6/14,张治灿,其它,11,65.7,0.01,火车,13.41,5.84,0.83,东北,黑龙江,哈尔滨,办公用品,笔、美术用品,Avery Hi-Liter? Smear-Safe Highlighters,打包纸袋,2013/6/16
868,2016/6/8,李嘉伟,其它,32,716.84,0,火车,134.72,21.78,5.94,西南,四川,宜宾,办公用品,家用电器,Holmes HEPA Air Purifier,中型箱子,2016/6/9
868,2016/6/8,李嘉伟,其它,31,1474.33,0.04,火车,114.46,47.98,3.61,华南,河南,郑州,技术产品,电脑配件,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",小型包裹,2016/6/10
870,2014/6/19,周楠,其它,23,1661.04,0.04,火车,475.54,70.97,3.5,华南,河南,郑州,办公用品,家用电器,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,小型箱子,2014/6/19
871,2015/11/14,唐晨,低级,17,104.94,0.06,火车,-34.97,6.24,5.22,华南,广西,南宁,家具产品,办公装饰品,Eldon Expressions Mahogany Wood Desk Collection,小型箱子,2015/11/14
896,2014/3/8,包若男,中级,50,1246.52,0.01,火车,52.479,24.92,12.98,华南,广西,南宁,办公用品,夹子及其配件 ,GBC Standard Therm-A-Bind Covers,小型箱子,2014/3/8
898,2014/6/2,刘珩,高级,40,676.13,0.03,火车,45.39,15.98,6.5,华南,广西,南宁,技术产品,电脑配件,Logitech Access Keyboard,小型箱子,2014/6/4
898,2014/6/2,刘珩,高级,26,7668.55,0.04,大卡,-715.778206,296.18,54.12,华北,内蒙古,呼和浩特,家具产品,桌子,Hon 94000 Series Round Tables,巨型纸箱,2014/6/2
900,2013/9/30,王霞,其它,29,1193.65,0.07,火车,507.5775,40.98,2.99,西北,甘肃,兰州,办公用品,夹子及其配件 ,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",小型箱子,2013/10/1
902,2013/7/26,王海燕,其它,10,1925.83,0.09,火车,359.83,207.48,0.99,华东,浙江,杭州,办公用品,家用电器,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,小型箱子,2013/7/29
